title,hour,price,location,subtitle,text
 Green Bazaar,,,,"
Authentic bazaar with a modern twist","The Green Bazaar on Zenkov St. is a landmark of Almaty and a great tourist destination. The market is more than a hundred years old. Here you can find food products, clothing, furniture, and сonstruction materials. And if you are hungry, then there is a dining room with delicious homemade food. The Green Bazaar attracts visitors with its unique energy and wide product range. The Green Bazaar is a peculiar ""museum"" of Kazakhstani culture of trade. It is impossible to leave it without a purchase and, o"
Medeu Skating Rink,,,,It is the world's largest high-altitude skating rink under an open sky.,"The Medeu is a sports complex near Almaty, located at an altitude of 1691 meters (5548 ft) above sea level. It is surrounded by the picturesque Ile Alatau Mountains. The weather conditions here are superb: perfect atmospheric pressure, light refreshing breeze, acceptable levels of solar radiation. No matter how many times you visit Medeu, you'll always be coming back there.A variety of activities, excellent service, beautiful panorama, happy smiles of its visitors - the atmosphere of Medeu is indescribable. You are most welcome to visit "
Kyluet Ethnographic Museum,,,,"An amazing place where every visitor will learn the traditions, customs and culture of ancient Kazakhs.","This ethnographic museum in Shymkent is unique, because its building and the entire exposition were created by only one person - Kendebay Karabdalov. Kendebay Karabdalov recreated more than 10 musical instruments, pottery, housewares, that are the exact copies of the ancient ones. Part of the museum is located underground, being a kind of hilvet - an underground mosque. This place inspires for meditation, and spiritual enlightment. Here you can hear the sound of any musical instrument displayed. On"
 Shymkent Dendrological Park,,,,"Due to its quiet and relaxing atmosphere, this park is a perfect retreat from the busy streets of Shymkent","Outdoor recreation has always been popular among city residents, for it helps to escape from the hustle and bustle of the city life and connect with nature. Dendrological Park in Shymkent was established for this very purpose. The park opened in 1979 and since then it has been working towards preserving the nature. Here you can see a great variety of plants and animals, including peacocks, squirrels, and deer. In the center of the park there is a picturesque lake with a catamaran station. The park territory is huge, so there is a bicycle rental and bike paths. Shymkent Dendrological Park can be undoubtedly called the crown jewel of the "
Ancient City of Sayram,,,,"It is one of the oldest cities in Kazakhstan, now a suburb of Shymkent","The oldest name of the city, according to the written sources of the early Middle Ages, is Ispijab. The city used to be one of the largest trade and cultural centers on the Silk Road, therefore it had an important economic and political importance for the entire nomadic civilization. There are many historical sites of the middle ages: architectural complexes and buildings, mausoleums, burial sites. Of special interest is the tower of Bazalak Ata Mosque  - a minaret dating back to the 12th century. In addition, modern Sayram is a place of pilgrimage and a unique open-air museum, where one "
Jer Ana Monument ,,,,"The monument symbolyzes the independence of the Republic of Kazakhstan, and unity of the people.","Ordabasy Square is a historic place where in the 18th century an agreement was signed on the merger of three juzes (main territorial and tribal divisions). It is located at the intersection of the streets named after the three great bis (leaders): Kazybek bi, Tole bi and Ayteke bi. This is where Jer Ana Monument was erected in 2009. It is a triangular column of 34 meters in height. There is a female figure atop, which symbolizes Mother Earth. Jer-Ana Monument is an important reminder of the need to preserve state sovereignty, be patriots and re"
 Abdulhamid Kattani Mosque ,,,,The mosque was built at the expence of a Saudi Arabia resident as a gift to Kazakh people.,"According to Islamic tradition, every devout Muslim has to give zakat, a charitable contribution. Abdulhamid Kattani, a Saudi Arabia resident, had a large mosque built in Shymkent as a way of giving zakat. It can hold 2,000 people, and consists of 7 rooms, including lecture rooms, libraries and a spacious hall for prayers. The gilded dome of the mosque is decorated with the Al-Fatiha Surah and Ayat Al-Kursi (Muslim holy texts).Abdulhamid Kattani Mosque is an amazing place where calmness, and silence reign. The doors of the “House of Allah” are al"
 Turkistan Regional Museum of Local History,,,,One of the oldest museums in the Republic of Kazakhstan,"Turkistan Regional Museum was opened in 1920. Now there are over 88 thousand valuable exhibits, displayed in four large halls. Each hall is devoted to a particular theme: archeology and paleontology, ethnography, the history of the Kazakh Khanate, and the history of independent Kazakhstan. There is a huge library. Informative lectures and discussions are often held there. The regional museum has 8 branches, including the National Literary and Cultural Museum in Turkistan and the Literary and Memorial Museum of the Turkistan Province.The collection of the Turkistan Regional Museum of Local History is constantly growing, so each time something new, but very inter"
 Baidibek Bi Monument ,,,, Baidibek Karashauly played an important role in the unification of the Kazakh people.,"Monument to Baidibek Bi, located in the northern part of Shymkent, is the highest monument in the country. Baidibek Karashauly is a significant historical figure of Kazakhstan. He was famous for his wisdom, honesty, and oratorical skills. He united the nomadic tribes, raised them to protect their native land from enemy invasions. The height of the sculpture with a pedestal is 23 meters (75 ft), the figure itself is 10 meters (33 ft) high. But if you count the hill, where the monument stands, then it can be considered one of the highest in the world.According to historians, Baidibek Bi could resolve any dispute. Therefore, the great judge is depicted with his arms outstretched to the sky, meaning his pure thoughts and honesty. The Baidibek Bi Monument is one "
Jailau Ethnic Village,,,,"Have a chance to live in a yurt, visit craft workshops, national games competitions and even get therapy by folk healers - all of this awaits you in Jailau Ethnic Village","On the territory of the Burabay National Park, there is Jailau Ethnic Village (also spelled as Zhailau Ethnic Village), which welcomes the guests, as the Kazakh people do, with hospitality and warmth. Here you can get to know the culture and history of Kazakhstan, learn about everyday life of the nomads, and try national cuisine.The word ""jailau"" translated from Kazakh means ""summer pasture"". However, at the moment, the administration is trying to make it possible for the Village to operate all year round. Here travelers are able to live in a yurt (the national dwelling of nomadic people), take master classes of craft activities, witness national games competitions. One can even get treatment by folk healers here. We are sure that this unique experienc"
Botai-Burabay Museum,,,,"Museum of ethnography and archaeology, dedicated to the Botai culture of the Eneolithic period","Burabay (also known as Borovoe) is a place that never ceases to amaze. There is Botai-Burabay Museum of ethnography and archaeology, dedicated to the Botai culture of the Eneolithic period (c. 3700-3100 BCE). The exhibition contains seven dwellings, which diameter varies from 8 to 10 meters. All homes are connected by underground passages and each carries a certain purpose. For example, in one of the “buildings” fishing master classes are given, and in another one you can see weapons of the Botai period.The establishing of the Botai-Burabay Museum is timed to the anniversary of the capital and helps preserve the history of the ancient Kaza"
Kenesary Cave,,,,"One of the iconic places of the Burabay National Park is named after Kenesary Khan, Kazakh national hero.","Kenesary Khan was a famous Kazakh ruler, a fighter for independence and justice. He loved to hunt and often spent nights at the foot of the hill, where the cave is located.The structure of the Kenesary Cave resembles a yurt (the national dwelling of nomadic people) with its traditional shanyrak (the main element of the yurt, a circular opening in the roof), which is represented here by a round hole in the upper part of the cave. The path to the cave is paved with stone steps. The cave overlooks Auliekol Lake (Holy Lake), its smooth surface reflects mountains around it.A tour to Kenesary Cave will introduce you to the history of this place and the life of this great man, helping you to immerse your"
The Glade and the Throne of Ablai Khan,,,,"In Burabay National Park there is a monument, very significant for the history of the Kazakh people - the glade and the granite throne of Ablai Khan.","This unique monument was erected in the 18th century, at the times of the Kazakh statehood formation. It is located in an area famous for its specific microclimate. It is believed to help heal and rejuvenate the body. In addition, this mysterious glade is mentioned in many legends of nomadic tribes. A guide will be glad to tell them to you.Enjoy the view of this magnificent place, take some good pictures and learn a lot of amusing facts about the history of Kazakhs"
ALZHIR Museum,,,,This museum is dedicated to the memory of victims of political repressions and totalitarianism.,"The Akmola Concentrational Camp for Wives of Traitors to the Motherland is a notorious place where more than 18 thousand unfortunate wives of the so-called ""public enemies"" were imprisoned. They were considered “socially dangerous and capable of anti-Soviet actions”. It is impossible to hold back tears here, but you cannot miss a visit to this memorial complex either. There is the famous “Arch of Sorrow”, one should bow one's head while passing through it.  Transportation wagons, barracks where women lived, are also displayed here. ALZHIR Museum is a frightening, but very important place, clearly demonstra"
 St. Nicholas Cathedral in Aktobe,,,,The cathedral implements missionary activity and is actively involved in charitable work.,"St. Nicholas Cathedral is the main Orthodox сhurch of the Aktobe Province and is part of the joint Ural and Aktobe diocese. In 2006, the first stone was laid on the site of the future temple. In 2008 the opening ceremony was attended by Nursultan Nazarbayev and Dmitry Medvedev, the presidents of Kazakhstan and Russia respectively. Residents of the town and region have had their hand in the construction of the cathedral. And its name is associated with the Kazakh metropolitan Nikolai Mogilevsky. The gilded domes of the church perfectly complement the building. St. Nicholas Cathedral implements missionary activity and is actively involved in charitable work. This is a wonderful place that pleases the eye and soul. It welcomes every visitor with the hospitality and warm"
The Boulevard of Unity and Accord,,,,"In the very center of Aktobe there is a beautiful boulevard, built to commemorate the 140th anniversary of the town.","The boulevard is located between the St. Nicholas Cathedral and the Nur Gasyr Mosque, symbolizing the unity of different religions and nationalities in Kazakhstan. There is a memorial rotunda, an amphitheater with 170 seats, and Shanyrak monument, which also represents the unity of people living in the country (shanyrak is a main part of a yurt - Kazakh national dwelling). Moreover, there is a musical fountain called “The Prosperity Bowl”, which has become a symbol of hospitality and generosity of the people of Kazakhstan. This is a great pl"
Nur Gasyr Regional Mosque ,,,,Nur Gasyr has an important spiritual significance and is an architectural landmark of the city of Aktobe.,"Nur Gasyr Mosque, founded in 2008, is the central mosque of the city of Aktobe. The opening ceremony was attended by representatives of the Kazakhstan and Russian Governments. The money for the mosque construction was raised by citizens in four years' time. The project of the Nur Gasyr Mosque was developed by Aivar Sattarov, the famous architect of the Kazan Central Mosque. This is a square building with four 63-meter-high minarets in its corners. The magnificent dome, 40 meters high, is decorated with gilding. Inside the mosque there is a spacious hall, which can hold 3,000 visitors. The women's hall, which accomodates about 500 people, is located on t"
Bear Waterfall,,,,The most easily accessible waterfall in the Almaty Province,"Bear Waterfall (also called Medvejiy Waterfall) is a favorite place for travel agencies to conduct tours. The route to it is easy and short - only one kilometer (approx. 1 yd) along a well-equipped path. The waterfall is located in a deep rocky niche, on the southern slope of the Karash Ridge, where the Bear Stream flows. The height of the waterfall is 29 meters (95 ft). The waterfall got its name because "
Tastau Tourist Base,,,,It is located in the wild and picturesque area of ​​the Dzungarian Alatau near Sandyktas Peak.,"You can see many wild animals near the tourist base. About 600 plant species grow here. Apple and apricot trees flourish at an altitude of 1200 meters (4000 ft) above sea level. Aspens grow a bit higher. Spruce forests can be found at an altitude of about 1500 meters (5000 ft), reaching an altitude of 2800-2900 meters (approx. 9000 ft) above sea level. At higher elevation alpine meadows occur. This is a strikingly beautiful place.  Favorable climate and mountain landscapes make it unique. And the diversity of flora and fauna adds to its beauty.In the tourist base you can book "
Atapkan Pass,,,,"Very few people visit this place, so beautiful landscapes, untouched by human activities, are preserved here.","Atapkan Pass is located in Jungar-Alatau National Park, overlooking the picturesque view of the Tentek River Valley and the gorge of the same name. This place is known for its biological diversity: here you can see bears, ibexes, deer and other wild animals. The flora includes pines and spruce trees, as well as unique wild fruit trees. Due to its isolation, wild unspoilt nature is preserved here.In the upper reaches of the Atapkan River at an altitude of 2500 m (about 8000 ft) there is a small lake. Slightly lower (1650-2450 m - 5500-7500 ft) a spruce forest"
Bayanjurek Mountains,,,,Bayanjurek (also spelled as Bayanzhurek) is low remnant mountains located in the foothills of the Dzungarian Alatau.,"The length of the range is 14 kilometers (approx. 9 mi), width - 6 kilometers (approx. 4 mi), its highest peak is 2079 meters (6800 ft) above sea level. On the slopes of Bayanjurek, tributaries of the Buyen River originate. The Bayanjurek Mountains are known for petroglyphic complex of the same name.On rocks and large stones in the southwestern part of the range, hundreds of paintings are carved. Most of the images were carved in the Bronze Age, and some researchers date the oldest group of images back to the Eneolithic period (end of the 3rd millennium BC). The petroglyphs depict horsemen, foot archers, hunting scenes, as well as various animals: argali, griffins, all kinds of fantastic creatures.The peculiarity of the Bayanjurek petroglyphs is the predominance of medieval images belonging to the Turkic period. Images of riders with spears and banners in their hands, battles and hunting scenes are represented here. Moreover, one can see ancient runic inscriptions. These unique petroglyphs reflect the life, beliefs and worldview of the people who"
 Ancient City of Saraishyk,,,,It is one of the earliest settlements in Kazakhstan.,"Saraishyk (also spelled as Saraichik, Saray-Juk) is believed to be founded as early as the 10th century. During the existence of the Golden Horde and the Kazakh Khanate, the city was of great commercial significance, since the main caravan routes passed through it. In 1990s, during the excavations, archaeologists found fragments of ceramic dishes, adorn with ornaments and gold paintings. In 1999 Khan's Headquarters Memorial was founded here. It included the Khans' pantheons, a mosque and a museum, where the exhibits foun"
Assumption Cathedral,,,," There are relics of the Saints and especially valuable icons of the Virgin Mary and St. Nicholas, the Metropolitan of Almaty.","The Cathedral of the Assumption of the Blessed Virgin Mary is located at the intersection of Isatai Avenue and Gagarin Street in the city of Atyrau. The church was opened in 1885. In the times of the USSR, the cathedral was closed bacause religions were forbidden. Later it was reopened and reckoned in the Ural diocese.Regular services are held within the walls of the Assumption Cathedral. It is included in the Republican list of protected objects. The walls are adorned with murals depicting Biblical plots. This beautiful Cathedral attracts people with its peaceful atmosphere, cosi"
Kali Yunus Bathhouse ,,,,It is widely known as a historical site of great importance.,"One of the main tourist destinations in the city of Taraz is the Kali Yunus Bathhouse. It was built in the 19th century, according to medieval standarts. Total area of the bathhouse is 450 square meters. Its water supply and heating systems were built using traditional materials and construction practices of ancient East. The bathhouse has undergone restoration, but external and internal appearance was preserved. The bathhouse is a multi-dome building, the light gets inside through small openings on the roof. There are five rooms, which were previously decorated with paintings, now lost.The Kali Yunus Bathhouse is of great historical significance. Here you can feel as if you've gone back in time and have become a rich merchant resting after a long journey"
 Tortkol Caravanserai,,,,"Once an inn on the Silk Road, now an open-air museum.","Tortkol Caravanserai was an inn on the Silk Road where travelers could rest and recover from the day's journey. It is located within a quadrangular platform measuring 85 by 100 meters. In 1983, the first research works were conducted here. In the period from 2008 to 2011, more than 40 valuable artifacts were discovered, including coins and remains of ceramic dishes. According to archaeologists, a hotel and baths were located o"
Jambyl Regional Museum of Local History,,,,Visiting a museum is the easiest way to get to know the history of a region.,"Jambyl Regional Museum of Local History was opened in 1931. Today it includes more than 40 thousand incredibly interesting exhibits, each with its own story. There are archaeological finds, works of art, household items, documents, photographs and many more. The main treasure is the items from the ancient city "
 Aksu-Jabagly Nature Reserve and Koksai Canyon,,,,"This nature reserve safeguards some of the most breathtaking landscapes of the region.
","Aksu-Jabagly Nature Reserve (also spelled as Aksu-Zhabagly) is located in the foothills of the Western Tien Shan mountains. The landscape here is diverse,  as is the wildlife. Snow leopards, porcupines, foxes, and wolves are all known to be living here. The variety of plants will also surprise visitors,who will be greeted by St. John's wort, Greig and Kaufman tulips, yarrow, and chamomile. Alpine flowers on the slopes of snow-capped mountains look particularly beautiful! One of the main attractions of the reserve is the amazing Koksai Canyon. It’s replete with picturesque forests, meadows and steppes.
Useful tips for 2020-2021
How to get there
The starting point of all tours around the reserve is the village of Jabagly in Turkistan Province. It’s 600 km (373 mi) away from Almaty. You can get there by train, getting off at the Tulkubas station. From there, you still have to cover 18 km (11 mi) by taxi. There are also shuttle busses running along the Almaty - Tashkent highway. You need to get off in Akbiik Village. Locals will give you a ride to the reserve which is 10 km (6 mi) away. 
You can also get to Jabagly from Shymkent which is only 100 km (62 mi) away. Take a bus at the bus station near the Aina market. You can also hire a minivan near the railroad station.
Food and accommodation
You can find detailed information about the reserve’s guest house here. There are several guest houses in the village of Jabagly too. Some offer not only accommodations but also excursions around the surroundings and culinary master-classes.
If you are traveling by car, stop at small bazaars along the highway and buy southern fruits and vegetables and the world's most delicious tandoor* bread.
* Tandoor is a cylindrical clay or met"
Akyrtas Palace,,,,"The study of the Akyrtas Palace is still ongoing, arousing interest among historians.","Akyrtas Palace is located near the city of Taraz, in the Jambyl Province. It is a monument of medieval culture and is included in the UNESCO World Heritage List. The history of the magnificent structure is shrouded in mystery. Now Akyrtas is the ruins of huge stone buildings. The construction of such buildings in the past was almost impossible. Scientists still put forward theories about its origin. The palace itself consists of four parts. The complex also includes a park, mines, and residential buildings. The walls of Akyrtas are very durable, and the buildings' foundations are 4 meters (13 ft) high. Residents of the complex were supplied with water, because there was a plumbing syst"
Aisha Bibi and Babaji Khatun Mausoleums,,,,"These two buildings, shrouded in legends, are located near the city of Taraz.","Aisha Bibi and Babaji Khatun Mausoleums are the jewels of the Jambyl Province. These are monuments of medieval architecture dating back to the 11-12 centuries.According to the legend, orphaned Aisha Bibi was Karakhan's beloved, but her guardian did not consent to the marriage, so the desperate girl ran away from home and soon received a deadly snake bite. Then grieving Karakhan erected a memorial tomb at the place of her death, but unfortunately there is no exact information about who was the architect. Babaji Khatun was a faithful fellow traveler and teacher of the deceased - she began to guard the mausoleum, and after her death she was buried beside Aisha.Aisha Bibi Mausoleum has a unique structure, being the only architectural monument in the country, fully lined with terracotta tiles. And the mausoleum of Babaji Khatun is peculiar for its outstanding ribbed umbrella-shaped dome, which is also unique for medieval architecture. Now the mausoleums draw a lot of travelers and pilgrims. There is always an "
 Mausoleums of Karakhan and Dautbek,,,,"A popular tourist destination, included in the list of the cultural heritage of Kazakhstan.","The Mausoleums of Karakhan and Dautbek are among the oldest religious buildings of this kind on the territory of Kazakhstan. According to legends, Dautbek, the commander-in-chief of the Karakhanid army, was the son-in-law of Shah-Mahmud Buhr Karakhan , therefore their tombs are not far from each other.Karakhan Mausoleum consists of central hall, small cells and a staircase that leads to the roof. In Dautbek Mausoleum there is also a gravestone in the form of a stepped pyramid, where the date of the Kazakh commander's death is indicated. Both monuments are under state protection, included in the list of the cultural her"
Ancient Taraz Historical and Cultural Center ,,,,It is a great place where you can learn about the history of Kazakhstan.,"The center is a 10 hectare open-air museum. Archaeological and research work have been carried out here for many years, shedding light on the history of the steppe civilization. Anyone can visit this unusual place to see and touch the artifacts of the past era, which were found during excavations. Among the exhibits there are centuries-old coins, household items and dishes, as well as petroglyphs. Ruins of a mosque, madrasas "
Historical and Cultural Center of the First President,,,,"It's an exhibition on the President Nazarbayev's life, work and invaluable contribution to the development of the Republic of Kazakhstan.","The Historical and Cultural Center of the First President was opened in 2011 in the town of Temirtau, Karaganda Province. Nursultan Nazarbayev has lived in Temirtau for several years. Visitors can familiarize themselves with documents and photographs telling about Nazarbayev's life, as well as about the history of independent Kazakhstan.The museum building catches an eye even from afar - it is a huge sparkling tent that resembles a yurt, traditional dwelling of the steppe people. The museum consists of 6 exhibition halls: ""In the flow of time"", ""Kazakhstan's way"", ""Steel Profile of Kazakhstan"", ""Personality Phenomenon"", ""Independent Kazakhstan"", ""Son of His Time"". Here, research activities are carried out. Events showing the scientific and cultural achieveme"
Begazy Burial Ground,,,,There are graves of tribal and religious leaders of the Bronze Age. ,"Begazy Burial Ground is one of the examples of archaic sights of the Karaganda Province. Tribal and religious leaders of the Bronze Age are buried there. Excavations are constantly being carried out here. So far clay vessels, jugs, weapons and animal bones were discovered. The Begazy Complex consisted of several buildings constructed in accordance with architectural tradition of that period. Granite mausoleums are square and their avera"
Bektau Ata Mountain Range,,,,"Bektau Ata is an ideal place for hiking, for its alien landscapes offer a magnificent view.","The Bektau Ata Mountain Range is located a few kilometers away from the town of Balkhash. The landscape is diverse: there are both mountains and deep gorges. Some rocks resemble particular figures, for instance, a mushroom, a chest, or a turtle. There are picturesque ponds in rock cavities. Hundreds of plants grow here.  This area is also a home for argali, jerboas, turtle doves and other animals. In Bektau Ata the deepest cave in Kazakhstan is located, but it is filled with w"
Lake Balkhash ,,,,"Whether you swim, fish or simply rest on its shores, you’ll be wowed by the beauty of this lake.","Lake Balkhash is one of the largest lakes in Kazakhstan. Its eastern part is saline, and the western one is fresh. The lake is surrounded by somewhat harsh yet picturesque places: Betpak- Dala Desert, the Chu-Ili Mountains and the Taukum Desert. The climate here is continental, so summer is always hot and sunny - perfect weather to hit the beach.There are recreation areas with comfortable rooms and houses with all the necessary infrastructure as well as a large variety of entertainment for fans of sailing, canoeing and fishing. Warm turquoise water, bright sun - Lake Balkhash is beautiful at any time of the year. With the perfect weather and combination of outdoor activities, Balkha"
"Mausoleums of Jochi Khan, Alasha Khan, and Dombauyl",,,,These are important historical monuments of medieval architecture of Kazakhstan.,"The Mausoleum of Jochi Khan was erected at the burial site of Jochi, Genghis Khan's first-born son. The mausoleum has a rectangular shape, and includes an arch and a double turquoise dome. Its architectural composition is simple and somewhat minimalist.The rectangular-shaped Mausoleum of Alasha Khan is made of bricks and wood. There are several legends regarding Alasha Khan, but many scholars agree that this man was rather a legendary character, not a historical one. His name is associated with the unity of the Turkic people. The front side of the mausoleum is decorated with terracotta tiles, and the walls are adorned with geometric ornament.The Mausoleum of Dombauyl, with its yurt-like structure, is no less interesting from the architectural point of view. There are also many theories about Dombauyl. Many assume that he was a folklore hero. The intricate mausoleum is made of sedimentary rocks and has a very strong foundation, which is not typical for such buildings in the region.All three mausoleums are the cultural and histori"
